expid,count,exp,start_second,alpha,use_data_perc,accuracy,time
273,28,1.05,10,0.010,0.330,0.7985004686035614,35426
274,28,1.1,10,0.010,0.330,0.8426987060998151,31106
275,28,1.2,10,0.010,0.330,0.8340489079708793,30270
276,48,1.02,10,0.010,0.330,0.8352262148575684,63702
277,48,1.05,10,0.010,0.330,0.8332083958020989,49775
278,48,1.1,10,0.010,0.330,0.8374836173001311,52427
279,8,1.02,20,0.010,0.330,0.8096222514564931,10869
280,8,1.05,20,0.010,0.330,0.8205368875539704,10798
281,8,1.1,20,0.010,0.330,0.8207831325301205,11084
282,8,1.2,20,0.010,0.330,0.8363876818439449,10535
283,8,1.3,20,0.010,0.330,0.8427305298887422,10542
284,8,1.35,20,0.010,0.330,0.8410473907431311,9841
285,8,1.375,20,0.010,0.330,0.8392790086368757,9356
286,8,1.4,20,0.010,0.330,0.8599886169607285,12693
287,8,1.425,20,0.010,0.330,0.8575173188541472,12476
288,8,1.45,20,0.010,0.330,0.8385328039326905,10441
289,8,1.5,20,0.010,0.330,0.858250276854928,9071
290,8,1.7,20,0.010,0.330,0.8514115898959881,12050
291,8,1.85,20,0.010,0.330,0.7926146960089518,10543
292,8,2.0,20,0.010,0.330,0.7837440235380655,8989
293,8,2.2,20,0.010,0.330,0.7383808095952024,8939
294,16,1.02,20,0.010,0.330,0.8186528497409327,22451
295,16,1.05,20,0.010,0.330,0.8256207674943566,22983
296,16,1.1,20,0.010,0.330,0.8208731497095747,22918
297,16,1.2,20,0.010,0.330,0.8164731896075179,30307
298,16,1.3,20,0.010,0.330,0.8774518961330096,20551
299,16,1.35,20,0.010,0.330,0.8506846745451135,25876
300,16,1.375,20,0.010,0.330,0.7471649005391336,20442
301,16,1.4,20,0.010,0.330,0.7703445747800587,18153
302,16,1.425,20,0.010,0.330,0.7916050295857988,19732
303,16,1.45,20,0.010,0.330,0.7535827284571003,17046
304,28,1.02,20,0.010,0.330,0.809145880574452,34240
305,28,1.05,20,0.010,0.330,0.8204351939451278,30739
306,28,1.1,20,0.010,0.330,0.8251890097731883,32299
307,28,1.2,20,0.010,0.330,0.8290693362995921,25258
308,48,1.02,20,0.010,0.330,0.8134078212290503,46658
309,48,1.05,20,0.010,0.330,0.8415433601798089,54021
310,48,1.1,20,0.010,0.330,0.7969770479567083,42421
311,8,1.02,45,0.010,0.330,0.8317218296764597,10650
312,8,1.05,45,0.010,0.330,0.8309054029135166,11422
