expid,window_fn,count,exp_add,start_second,alpha,const_norm,use_data_perc,accuracy, time
437,1,8,1.2,20,0.02,0,0.5,0.670006184291899,13650
807,2,28,10,45,0.1,0,0.2,0.669610231425091,19870
273,2,28,150,2,0.02,0,0.2,0.669327602087811,15850
429,1,28,1.1,2,0.02,0,0.5,0.669289371799675,57478
335,2,8,60,2,0.02,0,0.33,0.669157481785914,11796
333,1,8,2.4,2,0.02,0,0.33,0.669103862017248,9791
963,1,16,1.35,45,0.1,0,0.5,0.669085095917364,28869
419,1,16,1.1,2,0.02,0,0.5,0.669049927290354,49697
1023,2,16,150,20,0.4,1,0.2,0.668851435705368,13703
788,1,8,1.2,45,0.1,0,0.2,0.668573148705599,7979
434,2,28,100,2,0.02,0,0.5,0.668376694759985,34796
376,1,28,1.1,20,0.02,0,0.33,0.668197474167623,32928
393,1,16,1.1,45,0.02,0,0.33,0.668153931957613,30489
1318,2,16,100,2,0.4,0,0.33,0.668097815941758,26200
29,2,28,100,2,0.02,1,0.2,0.668012422360248,16218
737,1,8,2,2,0.1,0,0.2,0.667707682698314,6065
864,2,28,10,20,0.1,0,0.33,0.667411961989938,31239
384,1,8,1.3,45,0.02,0,0.33,0.667407407407407,10574
955,1,8,1.7,45,0.1,0,0.5,0.667296072507553,15103
591,1,28,1.1,2,0.1,1,0.33,0.667160037002775,30589
1264,2,16,60,20,0.4,0,0.2,0.667077302125038,17570
192,2,28,150,2,0.02,1,0.5,0.667031497020552,33908
1309,2,8,150,2,0.4,0,0.33,0.666917859834213,11270
1165,1,8,1.1,20,0.4,1,0.5,0.666912669126691,13008
1243,2,28,60,2,0.4,0,0.2,0.666666666666667,20315
943,1,28,1.1,20,0.1,0,0.5,0.666585336098573,50282
295,1,28,1.1,20,0.02,0,0.2,0.666461727636028,22395
776,1,16,1.4,20,0.1,0,0.2,0.666456494325347,17834
432,2,28,10,2,0.02,0,0.5,0.666373571159402,42682
268,1,28,1.2,2,0.02,0,0.2,0.666365552544414,20447
137,2,28,100,20,0.02,1,0.33,0.666160273452336,27091
436,1,8,1.1,20,0.02,0,0.5,0.666088894391482,14406
274,1,8,1.1,20,0.02,0,0.2,0.665948938788065,7383
862,1,28,1.1,20,0.1,0,0.33,0.665909950813469,32692
773,1,16,1.2,20,0.1,0,0.2,0.665440049064704,17471
888,2,28,10,45,0.1,0,0.33,0.66519092418373,35530
470,2,8,10,45,0.02,0,0.5,0.664996869129618,16967
1110,2,28,150,20,0.4,1,0.33,0.664645350973907,27316
1430,1,28,1.2,20,0.4,0,0.5,0.664265657428885,47783
252,1,8,2.4,2,0.02,0,0.2,0.664167447672602,7145
413,1,8,2,2,0.02,0,0.5,0.664072948328267,19372
138,2,28,150,20,0.02,1,0.33,0.663970588235294,24699
1324,2,28,60,2,0.4,0,0.33,0.663963794078823,27816
258,1,16,1.2,2,0.02,0,0.2,0.663891458526056,15863
1456,2,28,60,45,0.4,0,0.5,0.663885429638854,39482
486,2,28,150,45,0.02,0,0.5,0.663872796745963,35050
328,1,8,1.35,2,0.02,0,0.33,0.663802764288382,9718
275,1,8,1.2,20,0.02,0,0.2,0.663766314481044,6966
348,1,28,1.1,2,0.02,0,0.33,0.663720073664825,37468
781,1,28,1.1,20,0.1,0,0.2,0.663689559593471,20752
1083,2,28,150,2,0.4,1,0.33,0.663672094329029,24934
747,1,16,1.4,2,0.1,0,0.2,0.663557213930348,14237
828,1,16,1.4,2,0.1,0,0.33,0.663540885221305,29595
1149,1,16,1.2,2,0.4,1,0.5,0.663463907366346,34214
355,1,8,1.1,20,0.02,0,0.33,0.663340237243457,10445
57,2,28,150,20,0.02,1,0.2,0.663274745605921,14815
81,2,28,150,45,0.02,1,0.2,0.663164214950465,14882
911,2,16,10,2,0.1,0,0.5,0.663089069824821,34862
383,1,8,1.2,45,0.02,0,0.33,0.663035450516987,10794
872,1,8,1.4,45,0.1,0,0.33,0.663029406325134,17026
277,1,8,1.35,20,0.02,0,0.2,0.66295609152752,6964
947,2,28,100,20,0.1,0,0.5,0.662904808635918,35122
859,2,16,60,20,0.1,0,0.33,0.662861351500644,19566
832,2,16,100,2,0.1,0,0.33,0.662813102119461,21139
